#OTU ID	103.CO3	103.AR1	103.SA1	103.CA2	103.TL1	103.HI3	103.IT1	103.SK3	103.KP4	103.MD5	103.MP2	103.CO2	103.HF2	103.MD2	103.SP2	103.IT2	103.RT1	103.SP1	103.PE6	103.BF1	103.SF2	103.CM1	103.HI1	103.CL3	103.SK1	103.CO1	103.CL1	103.GB5	103.SR2	103.CC1	103.HJ1	103.AR2	103.CA1	103.DF2	103.PE1	103.MD4	103.PE7	103.KP1	103.AR3	103.SV2	103.SN1	103.LQ1	103.HI2	103.GB3	103.TL2	103.DF3	103.CF1	103.PE4	103.HF1	103.KP3	103.MP1	103.BP1
1139779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	42.0	0.0	0.0	0.0	28.0	0.0	0.0	3.0	0.0	0.0	0.0	27.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
112795	0.0	0.0	0.0	0.0	1.0	2.0	1.0	8.0	0.0	0.0	8.0	1.0	6.0	0.0	0.0	14.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	4.0	2.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	6.0	25.0	8.0	0.0	9.0	0.0
1127423	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	12.0	0.0	0.0	0.0	3.0	19.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	5.0	14.0	0.0	4.0	0.0
792450	0.0	0.0	0.0	0.0	0.0	1.0	10.0	3.0	1.0	1.0	4.0	0.0	3.0	0.0	5.0	10.0	0.0	0.0	12.0	3.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	9.0	0.0	0.0	1.0	13.0	0.0	10.0	0.0	2.0	0.0	0.0	5.0	1.0	0.0	0.0	2.0	2.0	17.0	0.0	0.0	5.0	0.0
4440396	0.0	0.0	0.0	0.0	1.0	0.0	5.0	10.0	0.0	0.0	22.0	29.0	9.0	0.0	7.0	4.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	10.0	17.0	6.0	18.0	0.0	0.0	1.0	25.0	0.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	3.0	0.0	14.0	8.0	0.0	14.0	0.0	31.0	0.0
146676	7.0	2.0	6.0	0.0	8.0	14.0	7.0	8.0	0.0	0.0	1.0	18.0	9.0	0.0	0.0	1.0	1.0	17.0	0.0	18.0	0.0	1.0	0.0	10.0	48.0	24.0	31.0	0.0	0.0	7.0	58.0	1.0	1.0	17.0	7.0	0.0	0.0	11.0	0.0	0.0	0.0	3.0	14.0	4.0	1.0	19.0	1.0	5.0	16.0	1.0	39.0	4.0
4450823	0.0	0.0	0.0	0.0	40.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	2.0	0.0	20.0	16.0	4.0	0.0	1.0	0.0
1062704	0.0	3.0	0.0	0.0	0.0	33.0	0.0	0.0	7.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	9.0	0.0	4.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	3.0	23.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	3.0	0.0	1.0	9.0	1.0	3.0
223583	0.0	6.0	5.0	0.0	0.0	1.0	14.0	7.0	1.0	0.0	1.0	19.0	2.0	0.0	1.0	4.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	5.0	55.0	2.0	13.0	1.0	0.0	2.0	25.0	2.0	0.0	12.0	1.0	0.0	0.0	1.0	1.0	0.0	8.0	0.0	6.0	7.0	0.0	3.0	0.0	1.0	9.0	1.0	1.0	0.0
319907	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	8.0	1.0	6.0	1.0	0.0	2.0	0.0	1.0	9.0	26.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	4.0	2.0	1.0	0.0	0.0	1.0	0.0	8.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	16.0	6.0	15.0	0.0	18.0	0.0
